,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
1454,TOMO_USDT.Y,Y,TOMO_USDT,TOMO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1455,API3USDT_PERP.3,3,API3-USDT-SWAP,API3,USDT,,True,True,STABLE,BASE_ASSET,False,True
1456,OOKI_USDT.Y,Y,OOKI_USDT,OOKI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1457,LUNAUSDT_PERP.3,3,LUNA-USDT-SWAP,LUNA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1458,SUI_USDT.Y,Y,SUI_USDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1459,ANKR_USDT.Y,Y,ANKR_USDT,ANKR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1460,THETAUSDT_PERP.4,4,THETA-USDT,THETA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1461,SRM_USDT.Y,Y,SRM_USDT,SRM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1462,UNFI_USDT.Y,Y,UNFI_USDT,UNFI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1463,DOGEUSDT_PERP.0,0,DOGEUSDT,DOGE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1464,PENDLE_USDT.Y,Y,PENDLE_USDT,PENDLE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1465,YFIUSDT_PERP.4,4,YFI-USDT,YFI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1466,ROSE_USDT.Y,Y,ROSE_USDT,ROSE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1467,PERP_C98_USDT.W,W,PERP_C98_USDT,C98,USDT,,True,True,STABLE,BASE_ASSET,False,True
1468,pf_zrxusd.K,K,pf_zrxusd,ZRX,USD,,True,True,STABLE,BASE_ASSET,False,True
1469,COREUSDT_PERP.3,3,CORE-USDT-SWAP,CORE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1470,CELOUSDT_PERP.3,3,CELO-USDT-SWAP,CELO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1471,TOMI_USDT.Y,Y,TOMI_USDT,TOMI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1472,AVAXBTC_PERP.F,F,AVAXF0:BTCF0,AVAX,BTC,,True,True,STABLE,BASE_ASSET,False,True
1473,AXSUSDT_PERP.3,3,AXS-USDT-SWAP,AXS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1474,COMPUSDT_PERP.4,4,COMP-USDT,COMP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1475,PERP_STG_USDT.W,W,PERP_STG_USDT,STG,USDT,,True,True,STABLE,BASE_ASSET,False,True
1476,XLMUSDT_PERP.4,4,XLM-USDT,XLM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1477,BTCUSD_PERP.0,0,XBTUSD,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
1478,SC_USDT.Y,Y,SC_USDT,SC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1479,BATUSDT_PERP.3,3,BAT-USDT-SWAP,BAT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1480,PEOPLEUSDT_PERP.3,3,PEOPLE-USDT-SWAP,PEOPLE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1481,XVG_USDT.Y,Y,XVG_USDT,XVG,USDT,,True,True,STABLE,BASE_ASSET,False,True
1482,STGUSDT_PERP.4,4,STG-USDT,STG,USDT,,True,True,STABLE,BASE_ASSET,False,True
1483,GFT_USDT.Y,Y,GFT_USDT,GFT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1484,MKR-USD.8,8,MKR-USD,MKR,USD,,True,True,STABLE,BASE_ASSET,False,True
1485,ZEN_USDT.Y,Y,ZEN_USDT,ZEN,USDT,,True,True,STABLE,BASE_ASSET,False,True
1486,GNS_USDT.Y,Y,GNS_USDT,GNS,USDT,,True,True,STABLE,BASE_ASSET,False,True
1487,PERP_LDO_USDT.W,W,PERP_LDO_USDT,LDO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1488,BCH_USDT.Y,Y,BCH_USDT,BCH,USDT,,True,True,STABLE,BASE_ASSET,False,True
1489,BTCUSD_PERP.K,K,pi_xbtusd,BTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
1490,YFI-USD.8,8,YFI-USD,YFI,USD,,True,True,STABLE,BASE_ASSET,False,True
1491,ADAUSD_PERP.0,0,ADAUSD,ADA,USD,,True,True,COIN,CONTRACTS,False,True
1492,BTC-29MAR24.2,2,BTC-29MAR24,BTC,USD,1711699200000.0,True,False,COIN,QUOTE_ASSET,False,True
1493,SANDUSDT_PERP.4,4,SAND-USDT,SAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
1494,WOJAK_USDT.Y,Y,WOJAK_USDT,WOJAK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1495,LTCUSD_PERP.3,3,LTC-USD-SWAP,LTC,USD,,True,True,COIN,QUOTE_ASSET,False,True
1496,DOGEUSD_PERP.0,0,DOGEUSD,DOGE,USD,,True,True,COIN,CONTRACTS,False,True
1497,ICPUSDT_PERP.3,3,ICP-USDT-SWAP,ICP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1498,pf_oceanusd.K,K,pf_oceanusd,OCEAN,USD,,True,True,STABLE,BASE_ASSET,False,True
1499,STORJ_USDT.Y,Y,STORJ_USDT,STORJ,USDT,,True,True,STABLE,BASE_ASSET,False,True
1500,WAVESUSDT_PERP.F,F,WAVESF0:USTF0,WAVES,USDT,,True,True,STABLE,BASE_ASSET,False,True
1501,THETAUSD_PERP.3,3,THETA-USD-SWAP,THETA,USD,,True,True,COIN,QUOTE_ASSET,False,True
1502,ff_ethusd_231229.K,K,ff_ethusd_231229,ETH,USD,1703836800000.0,True,False,STABLE,BASE_ASSET,False,True
1503,BLURUSD_PERP.0,0,BLURUSD,BLUR,USD,,True,True,COIN,CONTRACTS,False,True
1504,LINA_USDT.Y,Y,LINA_USDT,LINA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1505,PERPUSDT_PERP.4,4,PERP-USDT,PERP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1506,NTRN_USDT.Y,Y,NTRN_USDT,NTRN,USDT,,True,True,STABLE,BASE_ASSET,False,True
1507,XBTX23.0,0,XBTX23,BTC,USD,1700827200000.0,True,False,COIN,QUOTE_ASSET,False,True
1508,GMTUSDT_PERP.3,3,GMT-USDT-SWAP,GMT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1509,PERP_BCH_USDT.W,W,PERP_BCH_USDT,BCH,USDT,,True,True,STABLE,BASE_ASSET,False,True
1510,ANTUSDT_PERP.3,3,ANT-USDT-SWAP,ANT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1511,ADA-USD.8,8,ADA-USD,ADA,USD,,True,True,STABLE,BASE_ASSET,False,True
1512,pf_bandusd.K,K,pf_bandusd,BAND,USD,,True,True,STABLE,BASE_ASSET,False,True
1513,STXUSDT_PERP.3,3,STX-USDT-SWAP,STX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1514,IOTAUSDT_PERP.3,3,IOTA-USDT-SWAP,IOTA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1515,UNIUSDT_PERP.4,4,UNI-USDT,UNI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1516,PERP_MTL_USDT.W,W,PERP_MTL_USDT,MTL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1517,MASKUSDT_PERP.3,3,MASK-USDT-SWAP,MASK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1518,ETHUSDZ23.6,6,ETHUSDZ23,ETH,USD,1703836800000.0,True,False,COIN,QUOTE_ASSET,False,True
1519,XMR-USD.8,8,XMR-USD,XMR,USD,,True,True,STABLE,BASE_ASSET,False,True
1520,GMX_USDT.Y,Y,GMX_USDT,GMX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1521,PERP_SEI_USDT.W,W,PERP_SEI_USDT,SEI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1522,HTUSDT_PERP.4,4,HT-USDT,HT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1523,AAVE-USD.8,8,AAVE-USD,AAVE,USD,,True,True,STABLE,BASE_ASSET,False,True
1524,pf_batusd.K,K,pf_batusd,BAT,USD,,True,True,STABLE,BASE_ASSET,False,True
1525,FTMUSDT_PERP.4,4,FTM-USDT,FTM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1526,XTZUSDT_PERP.3,3,XTZ-USDT-SWAP,XTZ,USDT,,True,True,STABLE,BASE_ASSET,False,True
1527,TRXUSD_PERP.3,3,TRX-USD-SWAP,TRX,USD,,True,True,COIN,QUOTE_ASSET,False,True
1528,XLM_USDT.Y,Y,XLM_USDT,XLM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1529,MATICUSDT_PERP.3,3,MATIC-USDT-SWAP,MATIC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1530,LINKUSDT_PERP.0,0,LINKUSDT,LINK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1531,LRCUSDT_PERP.3,3,LRC-USDT-SWAP,LRC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1532,pf_ognusd.K,K,pf_ognusd,OGN,USD,,True,True,STABLE,BASE_ASSET,False,True
1533,KNCUSDT_PERP.F,F,KNCF0:USTF0,KNC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1534,GMTUSDT_PERP.0,0,GMTUSDT,GMT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1535,GLMRUSDT_PERP.4,4,GLMR-USDT,GLMR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1536,pf_aaveusd.K,K,pf_aaveusd,AAVE,USD,,True,True,STABLE,BASE_ASSET,False,True
1537,LOOM_USDT.Y,Y,LOOM_USDT,LOOM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1538,UNI_USDC-PERPETUAL.2,2,UNI_USDC-PERPETUAL,UNI,USDC,,True,True,STABLE,BASE_ASSET,False,True
1539,PERP_MKR_USDT.W,W,PERP_MKR_USDT,MKR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1540,PERP_WAVES_USDT.W,W,PERP_WAVES_USDT,WAVES,USDT,,True,True,STABLE,BASE_ASSET,False,True
1541,CRVUSD_PERP.3,3,CRV-USD-SWAP,CRV,USD,,True,True,COIN,QUOTE_ASSET,False,True
1542,VRA_USDT.Y,Y,VRA_USDT,VRA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1543,FILUSDT_PERP.3,3,FIL-USDT-SWAP,FIL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1544,TRBUSDT_PERP.4,4,TRB-USDT,TRB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1545,pf_aliceusd.K,K,pf_aliceusd,ALICE,USD,,True,True,STABLE,BASE_ASSET,False,True
1546,LUNA_USDT.Y,Y,LUNA_USDT,LUNA,USDT,,True,True,STABLE,BASE_ASSET,False,True
1547,SUIUSDT_PERP.0,0,SUIUSDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1548,CELUSDT_PERP.3,3,CEL-USDT-SWAP,CEL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1549,BAND_USDT.Y,Y,BAND_USDT,BAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
1550,ARBUSDT_PERP.0,0,ARBUSDT,ARB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1551,XRPUSDT_PERP.0,0,XRPUSDT,XRP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1552,REEF_USDT.Y,Y,REEF_USDT,REEF,USDT,,True,True,STABLE,BASE_ASSET,False,True
1553,BTCUSDT_PERP.3,3,BTC-USDT-SWAP,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1554,XAUTBTC_PERP.F,F,XAUTF0:BTCF0,XAUT,BTC,,True,True,STABLE,BASE_ASSET,False,True
1555,ATOUSDT_PERP.F,F,ATOF0:USTF0,ATOM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1556,ID_USDT.Y,Y,ID_USDT,ID,USDT,,True,True,STABLE,BASE_ASSET,False,True
1557,XLMUSDT_PERP.3,3,XLM-USDT-SWAP,XLM,USDT,,True,True,STABLE,BASE_ASSET,False,True
1558,BANDUSDT_PERP.3,3,BAND-USDT-SWAP,BAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
1559,BTCETH_PERP.0,0,XBTETH,BTC,ETH,,True,True,COIN,QUOTE_ASSET,False,True
1560,PERP_NEO_USDT.W,W,PERP_NEO_USDT,NEO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1561,ICP-USD.8,8,ICP-USD,ICP,USD,,True,True,STABLE,BASE_ASSET,False,True
1562,ONT_USDT.Y,Y,ONT_USDT,ONT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1563,RDNTUSDT_PERP.4,4,RDNT-USDT,RDNT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1564,ZRX_USDT.Y,Y,ZRX_USDT,ZRX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1565,fi_xbtusd_231027.K,K,fi_xbtusd_231027,BTC,USD,1698418800000.0,True,False,COIN,QUOTE_ASSET,False,True
1566,STARL_USDT.Y,Y,STARL_USDT,STARL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1567,MOVR_USDT.Y,Y,MOVR_USDT,MOVR,USDT,,True,True,STABLE,BASE_ASSET,False,True
1568,pf_omgusd.K,K,pf_omgusd,OMG,USD,,True,True,STABLE,BASE_ASSET,False,True
1569,ADAUSD_PERP.4,4,ADA-USD,ADA,USD,,True,True,COIN,QUOTE_ASSET,False,True
1570,PERP_1INCH_USDT.W,W,PERP_1INCH_USDT,1INCH,USDT,,True,True,STABLE,BASE_ASSET,False,True
1571,PERP_LINK_USDT.W,W,PERP_LINK_USDT,LINK,USDT,,True,True,STABLE,BASE_ASSET,False,True
1572,pf_galausd.K,K,pf_galausd,GALA,USD,,True,True,STABLE,BASE_ASSET,False,True
