,time,OpenInterest_long,OpenInterest_short,liquidate_long,liquidate_short,open,high,low,close,TradingVolume_usd
959,2022-09-06,2472328126.3065,2472328126.3065,7457419.952999987,3551750.683500004,19784.9,20174.7,18600.0,18781.5,945326.5950043792
960,2022-09-07,2353859657.802,2353859657.802,3826714.3830000013,3983980.5810000007,18781.4,19455.0,18500.0,19287.0,595630.9969998447
961,2022-09-08,2306899468.6793,2306899468.6793,3361015.3765999996,3502089.122400002,19287.0,19450.0,19003.8,19309.3,537243.2219988047
962,2022-09-09,2905790477.2000003,2905790477.2000003,3133213.832000001,7814703.88799999,19309.3,21666.0,19283.0,21352.0,992346.3120053394
963,2022-09-10,2985894748.9115005,2985894748.9115005,2784527.5810000016,4224982.538000001,21352.0,21825.0,21112.2,21639.5,491512.3179985042
964,2022-09-11,3114890112.7414,3114890112.7414,2212491.138800001,2009824.1924000008,21639.5,21883.4,21336.0,21820.3,420968.168998766
965,2022-09-12,3254696443.362,3254696443.362,3486462.798000005,5966271.947999987,21820.3,22474.0,21540.0,22386.0,818598.1030041811
966,2022-09-13,2461660251.2375,2461660251.2375,11541196.46249996,3999211.7125000046,22386.0,22850.0,19840.0,20162.5,1218762.4670033418
967,2022-09-14,2374169081.364,2374169081.364,4439491.464000001,3806921.7509999964,20162.6,20528.5,19600.0,20217.0,661722.5090008317
968,2022-09-15,2334101985.6335998,2334101985.6335998,5281801.1196,3053511.4284000006,20217.0,20315.0,19453.0,19690.8,665841.1560012057
969,2022-09-16,2422362886.8075,2422362886.8075,2147525.835000003,2555944.072500002,19690.8,19878.0,19300.0,19792.5,544603.7359992375
970,2022-09-17,2511445279.69,2511445279.69,1734259.846,2417044.378000001,19792.4,20182.6,19739.4,20102.0,334674.1739993841
971,2022-09-18,2421674711.4025,2421674711.4025,4668431.632499999,1502218.7720000013,20102.0,20105.3,19325.8,19404.5,499917.2509989884
972,2022-09-19,2259791631.1152,2259791631.1152,5284107.173800005,5586273.201599998,19405.1,19686.3,18215.0,19528.6,993769.0570042696
973,2022-09-20,2185652048.1284,2185652048.1284,5403960.923599996,2824378.826800002,19528.6,19625.0,18690.1,18866.8,794612.4820026665
974,2022-09-21,2115410613.15,2115410613.15,5882335.877499994,5432751.854999988,18866.7,20154.1,18084.3,18447.5,1168067.6400078407
975,2022-09-22,2367099998.3025002,2367099998.3025002,3840607.054999996,8169711.184999992,18447.6,19504.8,18345.2,19392.5,852756.3160032991
976,2022-09-23,2261044700.4915,2261044700.4915,6440544.308699987,5807886.699599995,19392.5,19492.0,18518.5,19280.7,838484.7220021622
977,2022-09-24,2273431100.112,2273431100.112,3614327.053000001,1537596.677000001,19280.7,19304.5,18798.0,18911.0,377156.5199993145
978,2022-09-25,2292261633.5731997,2292261633.5731997,1964831.8458000016,1570790.1338000013,18910.9,19196.0,18621.0,18799.7,410458.02499909047
979,2022-09-26,2465791783.6197,2465791783.6197,3846776.5829000003,3712070.3199000014,18799.7,19311.5,18671.0,19216.3,777800.4460037736
980,2022-09-27,2456828768.1356997,2456828768.1356997,8006562.414899976,5384747.85659999,19216.3,20375.0,18801.5,19070.1,1300470.727000352
981,2022-09-28,2538926777.7950997,2538926777.7950997,6900110.256599992,6569468.0864999965,19070.1,19787.6,18460.0,19407.3,1141210.9880034747
982,2022-09-29,2594338673.745,2594338673.745,5103454.072499991,4554027.869999995,19407.4,19648.8,18827.2,19582.5,991666.8550036631
983,2022-09-30,2435204229.0961,2435204229.0961,4861990.263899999,3429154.451799997,19582.5,20172.7,19066.0,19411.7,1071387.9700039716
984,2022-10-01,2435667992.256,2435667992.256,816115.2080000003,391330.68799999985,19411.6,19474.0,19140.0,19304.0,294454.89599959675
985,2022-10-02,2411400473.4366,2411400473.4366,2175460.529400001,1644401.356200001,19304.0,19389.0,18896.0,19049.4,414964.25599933596
986,2022-10-03,2660589422.386,2660589422.386,1463526.4920000012,4608599.517999996,19049.3,19723.7,18950.8,19622.0,621810.3470002004
987,2022-10-04,3377653260.394,3377653260.394,3991998.2229999946,3873192.503999996,19621.9,20500.0,19480.1,20333.0,796675.4770018044
988,2022-10-05,3207385116.0,3207385116.0,2914475.8499999987,2874498.2500000023,20332.9,20356.1,19707.0,20150.0,719565.7900010147
989,2022-10-06,3125349345.294,3125349345.294,2306003.9640000025,2353654.116000002,20149.9,20443.9,19843.3,19954.0,782026.3170019044
990,2022-10-07,2861004791.7199,2861004791.7199,3761033.2402999992,1638935.7222000007,19954.0,20067.0,19304.4,19520.9,672731.3430009828
991,2022-10-08,2802716526.5616,2802716526.5616,1094373.8366000003,716224.6233999999,19520.9,19619.6,19200.0,19406.2,253256.88699978177
992,2022-10-09,2825382109.41,2825382109.41,351274.97,462570.0100000001,19406.3,19550.0,19310.0,19430.0,267178.05499973864
993,2022-10-10,2900890816.6280003,2900890816.6280003,3891102.9080000003,1621045.8600000003,19430.0,19513.0,19000.0,19124.0,560911.0049994983
994,2022-10-11,2975208732.5249996,2975208732.5249996,3027172.5749999974,1667769.8200000015,19124.1,19260.0,18850.0,19055.0,603346.7050001269
995,2022-10-12,2892323877.8199997,2892323877.8199997,322835.2800000001,1141297.3920000012,19055.0,19240.0,18924.3,19148.0,406765.3069994521
996,2022-10-13,2964813606.1775,2964813606.1775,4941359.076500003,4423467.509999995,19148.1,19498.6,17917.8,19365.5,1104595.820002309
997,2022-10-14,2806039547.2745996,2806039547.2745996,4324721.9652,3395526.334200001,19365.4,19947.9,19059.6,19164.6,859030.477002261
998,2022-10-15,2832167224.1904,2832167224.1904,706149.6991999999,505767.714,19164.5,19218.8,18966.0,19060.4,241514.71299980723
999,2022-10-16,2752853303.6307,2752853303.6307,1154382.4277999992,1221667.8183,19060.4,19415.9,19058.0,19251.9,267912.6449997518
1000,2022-10-17,3057180626.1905994,3057180626.1905994,912350.6139999997,1456986.2172000008,19251.8,19666.0,19148.0,19540.6,502308.59799918404
1001,2022-10-18,2949346301.3085003,2949346301.3085003,2749537.958100002,2171360.0256,19540.7,19706.4,19081.0,19320.9,634257.3500002897
1002,2022-10-19,2944227868.1965,2944227868.1965,1984236.9932000015,701831.4071000004,19320.9,19349.8,19050.0,19116.7,404344.0479993428
1003,2022-10-20,2984155613.2194004,2984155613.2194004,2721943.065300003,1682553.2718000012,19116.6,19350.0,18882.4,19034.7,537618.0299996211
1004,2022-10-21,2874756057.9295,2874756057.9295,1829045.0063000005,2233760.9760000026,19034.8,19240.0,18600.0,19150.9,581871.8089999877
1005,2022-10-22,2890468738.3826995,2890468738.3826995,527270.2018999998,434730.62479999976,19151.0,19250.0,19103.5,19195.1,174052.88999993325
1006,2022-10-23,3150083451.8936,3150083451.8936,559220.8523,3374514.1604999993,19195.1,19690.0,19050.0,19560.7,358607.6169998135
1007,2022-10-24,2826116866.8768,2826116866.8768,1282818.4305,2302002.7503000014,19560.6,19593.3,19146.0,19318.1,476675.72299938306
1008,2022-10-25,3303451291.6860003,3303451291.6860003,2224731.6014000014,5628696.579099992,19318.1,20415.0,19228.0,20068.3,777258.698001746
1009,2022-10-26,3460192350.0305996,3460192350.0305996,3423313.527899998,3093256.5579,20068.3,21030.0,20041.1,20758.3,841853.988002216
1010,2022-10-27,3082235507.1159997,3082235507.1159997,3443483.9105000007,2529196.1400000006,20758.4,20863.7,20170.0,20285.5,614908.8689994036
1011,2022-10-28,3026416347.4523997,3026416347.4523997,3277460.9924000003,2374884.629600004,20285.6,20740.0,19951.0,20582.8,595520.2659999314
1012,2022-10-29,3179320177.3862,3179320177.3862,2626851.973700004,6030294.318799992,20582.7,21088.0,20547.8,20796.7,482211.32199903176
1013,2022-10-30,2969998391.6636,2969998391.6636,2014659.5099999986,1764324.2792000014,20796.7,20925.2,20503.0,20615.6,295387.62199958425
1014,2022-10-31,2752084801.158,2752084801.158,2425191.692000001,2279216.4780000006,20615.5,20838.7,20225.4,20482.0,478793.0159990648
1015,2022-11-01,2766981316.7766,2766981316.7766,1181792.9167000004,1132618.9325000003,20482.1,20687.0,20320.0,20472.1,314675.65199955285
1016,2022-11-02,2614498037.7144,2614498037.7144,3971144.3576000044,2394214.8078000015,20472.1,20796.0,20050.0,20140.1,651516.617000321
1017,2022-11-03,2615976389.2885003,2615976389.2885003,3590900.669000004,1445833.9269000003,20140.2,20400.0,20026.0,20199.7,372105.44299949985
1018,2022-11-04,3003500388.8032,3003500388.8032,2340693.273600001,6442190.902399988,20199.8,21297.0,20171.6,21137.6,824502.2810018355
1019,2022-11-05,3148678255.1701,3148678255.1701,1134858.1195,2140827.1844000006,21137.6,21473.7,21071.1,21289.9,303982.79099951184
1020,2022-11-06,2911314552.3,2911314552.3,4050545.4000000013,458190.70000000024,21289.8,21355.8,20863.3,20900.0,277143.1939996574
1021,2022-11-07,2679737245.7674,2679737245.7674,6077148.680399989,1153718.6304000004,20900.0,21062.6,20374.0,20578.6,554403.7449992887
1022,2022-11-08,2228255580.462,2228255580.462,24684822.977999933,10819852.655999953,20578.5,20685.0,16830.0,18534.0,2017388.5829925307
1023,2022-11-09,2103741276.0900002,2103741276.0900002,21679103.484999914,11454812.809999954,18533.9,18574.9,15462.6,15905.0,2065590.9849986646
1024,2022-11-10,2151574231.072,2151574231.072,10256143.203999974,18626448.283999935,15905.1,18230.0,15730.0,17588.0,1496791.5530010506
1025,2022-11-11,2006551299.5073,2006551299.5073,6108901.337699989,6942898.682999988,17588.0,17678.0,16343.0,17058.3,955273.4710040941
1026,2022-11-12,1975942341.7701,1975942341.7701,2438227.4037000006,1049994.2706000002,17058.4,17110.8,16623.8,16806.9,304453.64699958236
1027,2022-11-13,1945736166.7968,1945736166.7968,2619748.4544000016,1364289.1080000012,16806.9,16950.0,16210.3,16321.2,349742.24199956574
1028,2022-11-14,1916841653.1856,1916841653.1856,6054006.84199998,4794718.289599989,16321.3,17188.0,15805.5,16605.2,934226.7760030903
1029,2022-11-15,1988472908.8939,1988472908.8939,3697321.7424000013,2986206.0943000047,16605.3,17127.2,16516.7,16888.3,649262.0660004964
1030,2022-11-16,2051292162.9246,2051292162.9246,2566490.182800001,1966385.9082000006,16888.3,17007.4,16358.0,16650.6,537231.8209995497
1031,2022-11-17,2076759083.1207,2076759083.1207,2405558.8199999984,1449240.7554000006,16650.7,16741.7,16403.3,16682.1,408976.8939994772
1032,2022-11-18,2016893850.5037,2016893850.5037,1398797.1364,1139172.1632000005,16682.1,16984.4,16541.1,16689.7,388607.25299956306
1033,2022-11-19,1996892168.7960002,1996892168.7960002,776837.4872999999,577874.8121999998,16689.7,16814.5,16543.8,16692.9,171820.05899991284
1034,2022-11-20,1973802070.6848,1973802070.6848,2205783.4752000007,847900.0955999995,16693.0,16743.9,16167.1,16272.6,327592.5399996557
1035,2022-11-21,2035157287.522,2035157287.522,3242944.5730000013,3799147.871999997,16272.7,16304.3,15443.2,15773.0,790212.2370011082
1036,2022-11-22,2074134837.3284001,2074134837.3284001,2262806.1412000037,2819870.207,15772.9,16309.0,15610.3,16220.6,579310.7230000083
1037,2022-11-23,2045798652.4975998,2045798652.4975998,2489287.021000001,3213843.0532,16220.5,16703.4,16155.5,16595.8,546693.9169994337
1038,2022-11-24,2055205861.9884002,2055205861.9884002,1350521.8056000003,1100242.044000001,16595.8,16800.0,16450.0,16592.4,351019.7689996367
1039,2022-11-25,2071737154.1390998,2071737154.1390998,1194147.0621999996,740647.9883999999,16592.5,16639.9,16331.7,16516.1,306550.7129997584
1040,2022-11-26,2074993413.9584,2074993413.9584,793180.4240000006,722267.9227999998,16516.2,16699.1,16369.1,16449.2,253398.09899981233
1041,2022-11-27,2081363553.7985997,2081363553.7985997,489574.12859999994,654095.7354,16449.2,16594.2,16396.0,16422.6,189369.9669998901
1042,2022-11-28,2025211121.6220002,2025211121.6220002,3765342.4380000043,2517271.847999997,16422.5,16475.0,15984.1,16204.5,497096.6099994665
1043,2022-11-29,2095146150.538,2095146150.538,649177.1328000005,1847502.5100000014,16204.6,16543.0,16088.0,16433.2,391314.3159995873
1044,2022-11-30,2180385912.6618,2180385912.6618,1577932.0670000014,3217272.947999997,16433.3,17248.3,16421.5,17153.3,620308.0860000439
1045,2022-12-01,2203242187.7555,2203242187.7555,1403545.2025000004,623258.5829999999,17153.4,17348.5,16851.2,16970.5,411040.68199963577
1046,2022-12-02,2200098626.242,2200098626.242,1180025.308000001,1738963.9850000003,16970.5,17096.3,16760.0,17083.0,335035.6499997607
1047,2022-12-03,2188567933.1505003,2188567933.1505003,1308059.973,167275.84500000003,17083.0,17160.0,16850.1,16879.5,185255.05299992
1048,2022-12-04,2324883604.0595,2324883604.0595,496569.4799999999,1132824.7755000007,16879.5,17206.2,16874.1,17099.5,291108.5629998015
1049,2022-12-05,2082925209.3733997,2082925209.3733997,1624876.4728,1635407.5771000006,17099.4,17430.0,16860.6,16958.3,519944.24899937445
1050,2022-12-06,1887554436.8604,1887554436.8604,1098102.7442000003,794428.1576000002,16958.2,17100.0,16899.9,17078.6,321314.02999974793
1051,2022-12-07,1811874478.9880002,1811874478.9880002,1180568.3400000005,492286.3120000002,17078.7,17130.0,16655.0,16828.0,337777.7529996263
1052,2022-12-08,1904972694.72,1904972694.72,1040345.664,1573094.7840000005,16828.0,17294.9,16710.4,17216.0,402156.71899945696
1053,2022-12-09,1865162571.692,1865162571.692,441216.8179999999,524515.3480000001,17216.0,17365.4,17052.0,17122.0,290230.29599955067
1054,2022-12-10,1881209988.32,1881209988.32,182550.56000000008,65997.6,17122.0,17228.6,17081.0,17120.0,141894.98099996944
1055,2022-12-11,1862272204.6837,1862272204.6837,1170717.2241999996,259574.95999999996,17120.1,17265.0,17060.0,17077.3,171004.09099984533
1056,2022-12-12,1798836406.4,1798836406.4,1400509.9999999993,1778755.1999999997,17077.3,17237.9,16865.0,17200.0,335847.2539994992
1057,2022-12-13,1905756815.8068,1905756815.8068,1940619.344400001,9039566.464499997,17200.0,18100.0,17076.0,17777.1,596816.4800003474
1058,2022-12-14,1989917066.5595,1989917066.5595,1775493.9275,2708044.405600001,17777.1,18400.0,17659.4,17803.9,627504.2590005232
1059,2022-12-15,1878007732.5256,1878007732.5256,2026308.5004000003,519703.7618,17804.0,17849.5,17258.0,17351.8,437100.2999993344
1060,2022-12-16,1631686502.0669997,1631686502.0669997,4684937.36559999,1169887.7893000008,17351.9,17528.0,16521.1,16624.1,622146.8219996579
1061,2022-12-17,1665742744.8319998,1665742744.8319998,599942.2719999999,1493978.4960000014,16624.0,16790.0,16571.8,16768.0,248464.61699991446
1062,2022-12-18,1646872544.0166,1646872544.0166,674214.3597000001,1034785.7852999994,16768.1,16872.0,16656.0,16730.3,185898.2119999466
1063,2022-12-19,1599436458.4884,1599436458.4884,2528979.6144000017,508516.59839999996,16730.4,16809.6,16210.0,16429.2,344727.43599954306
1064,2022-12-20,1606427255.8752,1606427255.8752,812358.756,1988805.5440000016,16429.3,17049.6,16390.3,16887.2,476143.9339993341
1065,2022-12-21,1610985576.998,1610985576.998,984518.4663999999,189674.62920000005,16887.3,16924.2,16694.2,16819.6,227751.1869998844
1066,2022-12-22,1672486109.1899998,1672486109.1899998,766534.5674999999,693101.2789999997,16819.7,16861.9,16556.1,16815.5,306607.31499975984
1067,2022-12-23,1648985321.6260002,1648985321.6260002,647300.6176,722978.9579999999,16815.5,16960.0,16690.0,16776.4,264553.2389998486
1068,2022-12-24,1649300323.3872,1649300323.3872,286.09130000000005,60802.8157,16776.3,16859.9,16774.4,16828.9,82362.41699996225
1069,2022-12-25,1638714663.0544002,1638714663.0544002,226893.8584,355953.8308000002,16829.0,16850.0,16700.0,16824.4,144071.42999997523
1070,2022-12-26,1632775425.0960002,1632775425.0960002,201940.02600000007,767186.0569000001,16824.5,16936.8,16781.1,16912.9,148128.1869999598
1071,2022-12-27,1723189501.0786002,1723189501.0786002,729277.1867999999,500645.4324000001,16912.8,16968.0,16580.0,16698.2,262827.90699983545
