,time,high,low,open,close,liquidate_long,liquidate_short,TradingVolume_usd,OpenInterest_long,OpenInterest_short,leverage_long,leverage_short,Less than 1.1X,1.1X - 5X,5X - 10X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,More than 50X
4628,2023-03-19,28448.08,26902.0,26973.38,28037.32,198650.0,804640.0,21005715.0,55054383.88068108,35826254.87893772,85.96062992125984,71.7560975609756,0.0,24713.454545454544,172950.8,142978.0,12914.214285714286,88200.9,33603.4,34740.0,806365.3333333334,173775.85714285713,706188.0,43323.152631578945
4629,2023-03-20,28534.79,27229.43,28037.32,27807.29,388401.0,798120.0,21352632.0,44788382.165695615,26282949.162193306,88.17050691244239,63.39267015706806,0.0,26699.140350877195,49752.9375,35577.142857142855,91511.0,175801.60714285713,63842.083333333336,38180.0,182858.66666666666,121000.0,210930.0,32603.276150627615
4630,2023-03-21,28498.09,27411.61,27807.29,28185.99,111750.0,254984.0,10863183.0,46473067.65520197,20801396.526512302,60.23972602739726,49.87850467289719,0.0,17527.125,32131.904761904763,23639.04761904762,19030.285714285714,20211.25,84150.08571428571,62036.0,20793.0,0.0,89345.42857142857,41034.44642857143
4631,2023-03-22,28877.16,26681.65,28185.99,27317.37,233288.0,361618.0,24287789.0,41435679.96681565,29824033.580651365,52.513011152416354,53.4320987654321,0.0,31429.722222222223,43467.64444444444,39845.53333333333,30272.03125,44610.07692307692,130386.02083333333,22733.894736842107,118888.31578947368,221149.4,40782.0,30449.82894736842
4632,2023-03-23,28810.23,27188.53,27317.37,28345.69,197912.0,238270.0,20466040.0,46773283.42184379,28585359.910141718,72.16279069767442,61.33613445378151,0.0,33635.25,28940.8,69535.05263157895,37859.833333333336,34166.0,172325.0,45230.22222222222,1048896.0,17217.6,688780.1666666666,46867.74757281553
4633,2023-03-24,28417.0,27047.96,28345.69,27491.73,833608.0,221700.0,12819113.0,45529145.28088487,27936469.42280865,77.41891891891892,63.520833333333336,0.0,67261.0,84707.33333333333,94144.36363636363,39758.1875,27475.69230769231,80623.66666666667,48742.5,136526.0,16733.5,7566.0,45173.0
4634,2023-03-25,27810.74,27188.56,27491.73,27493.43,79200.0,367500.0,4135431.0,45302935.870317005,28779708.28747208,68.6,69.14814814814815,0.0,34218.57142857143,105248.8,16931.666666666668,37496.0,8586.666666666666,144981.7142857143,39542.6,7665.0,13334.0,47089.0,24772.672727272726
4635,2023-03-26,28212.64,27447.43,27493.43,27996.81,16200.0,311000.0,7887473.0,45039632.876400806,31426018.02934756,67.96341463414635,65.19718309859155,0.0,46291.454545454544,113643.5,53126.5,80121.36363636363,53706.333333333336,175447.5,32100.923076923078,31376.0,17733.333333333332,0.0,29949.23076923077
4636,2023-03-27,28044.15,26565.75,27996.81,27145.09,54144.0,245000.0,28268112.0,53620476.97436217,33787784.159579284,54.12135922330097,54.71052631578947,0.0,16137.892857142857,29686.0,184583.19047619047,59452.458333333336,24425.32,475084.06666666665,42795.82608695652,41621.833333333336,18830.0,14129.5,41065.045454545456
4637,2023-03-28,27501.44,26660.19,27145.09,27274.9,0.0,498464.0,13410019.0,48774453.7166605,38699862.15511101,64.35135135135135,49.58490566037736,0.0,15444.0,28823.9,31359.764705882353,342104.3846153846,19894.4,203985.15,14735.636363636364,105781.66666666667,45480.0,15820.0,37435.44047619047
