,time,OpenInterest_long,OpenInterest_short,TradingVolume_usd,liquidate_short,liquidate_long,high,low,open,close
65,2022-01-31,1600229.4064230742,1899272.5128781158,3894117.8380378378,0.0,0.0,38769.81,36660.7,37908.44,38494.66
66,2022-02-01,1610388.8045573258,2080167.0874278161,5283560.661175779,0.0,0.0,39281.06,38033.98,38494.66,38721.49
67,2022-02-02,1935761.866326131,1894471.4645769345,3972772.1645837906,0.0,0.0,38883.19,36650.8,38721.49,36918.19
68,2022-02-03,1763282.2197522477,1945419.8821047898,4001128.115598921,0.0,0.0,37411.52,36270.47,36918.19,37328.64
69,2022-02-04,1646000.4833258898,2607397.3096467885,6360580.207814086,0.0,0.0,41737.83,37060.18,37328.64,41590.34
70,2022-02-05,1715925.4197720229,2710309.6671473514,5252569.243860187,0.0,624.2689103030125,41954.24,40963.47,41590.34,41418.21
71,2022-02-06,1732743.8927862511,2897128.420390202,4213130.865931577,0.0,0.0,42671.81,41152.05,41418.21,42412.41
72,2022-02-07,2237840.6343747424,1875823.840154731,7915398.334425025,0.0,0.0,44518.11,41689.77,42412.41,43861.07
73,2022-02-08,2174684.3802932263,1917655.1700151495,6573445.611432307,0.0,1797.7384179185078,45483.65,42704.39,43861.07,44080.12
74,2022-02-09,2105059.6380056385,1943950.165223675,3696670.9269515597,0.0,0.0,44849.9,43167.21,44080.12,44422.91
75,2022-02-10,2193481.153015077,1943898.0107653446,6388629.626600878,0.0,0.0,45837.02,43254.41,44422.91,43531.67
76,2022-02-11,2364293.9724943507,2017629.1663901913,5874641.398921857,0.0,0.0,43950.88,42010.61,43531.67,42398.98
77,2022-02-12,2362046.7858898323,2023431.8813332021,2485663.9700284936,0.0,0.0,43041.72,41775.79,42398.98,42239.01
78,2022-02-13,2385080.54131631,2044523.6149127022,1640227.6683687756,0.0,0.0,42773.35,41900.31,42239.01,42069.84
79,2022-02-14,2279630.2748016417,2064620.5229725756,3175957.6557375267,0.0,0.0,42857.15,41581.41,42069.84,42552.28
80,2022-02-15,2132216.4340676162,2130971.107575019,2431545.4357893914,0.0,2769.368203579127,44771.91,42452.02,42552.28,44576.33
81,2022-02-16,2196852.7669878523,2075070.8970767695,2323216.4825403383,0.0,0.0,44583.03,43361.09,44576.33,43896.34
82,2022-02-17,2605455.6971970606,2217809.981172651,5557136.359101364,5698.032374036935,0.0,44187.88,40104.04,43896.34,40545.09
83,2022-02-18,2367564.074682893,2298144.631620057,6514352.119824645,39836.56378541119,0.0,40980.65,39496.7,40545.09,39994.66
84,2022-02-19,2327900.2487547966,2268967.766283483,2764862.7192749106,0.0,0.0,40464.62,39664.71,39994.66,40107.12
85,2022-02-20,2649957.939650402,2244783.096860825,4706705.2120574135,0.0,0.0,40142.98,38019.97,40107.12,38397.25
86,2022-02-21,3028056.563463596,2287432.356761419,12644331.359567706,0.0,0.0,39495.33,36862.52,38397.25,37037.39
87,2022-02-22,2271982.3265810376,2377734.395120072,7640940.565136954,875.0151112670701,0.0,38458.26,36371.68,37037.39,38267.75
88,2022-02-23,2486756.632607316,2373762.849006746,2847262.8275552653,0.0,0.0,39260.51,37083.83,38267.75,37270.85
89,2022-02-24,2077084.2486357023,2343099.0038526747,16356546.278631534,15955.842556066376,11041.260047385736,39182.44,34349.58,37270.85,38353.62
90,2022-02-25,2393942.8945370126,2832957.1216945867,7140356.746753211,0.0,0.0,39710.26,38043.51,38353.62,39239.77
91,2022-02-26,2352843.65671941,2367596.827189338,3087695.587170763,0.0,0.0,40228.13,38605.65,39239.77,39134.83
92,2022-02-27,2299712.423729838,2096657.5006004395,4499299.162661934,0.0,0.0,39861.91,37039.71,39134.83,37714.96
93,2022-02-28,1606570.8888750558,2284613.374355158,10537921.636988863,0.0,91121.38602478686,43953.92,37473.3,37714.96,43189.46
94,2022-03-01,1589888.1824533006,2214017.7603299264,3752735.171108773,0.0,1176.3735468424504,44883.1,42893.5,43189.46,44428.47
95,2022-03-02,1598174.6363099776,2155943.6368631055,3487888.416580088,0.0,0.0,45069.78,43387.92,44428.47,43935.37
96,2022-03-03,1638229.095343221,2002522.2519726707,2427565.954843007,0.0,0.0,44079.17,41852.46,43935.37,42474.37
97,2022-03-04,1845595.0516988873,1834906.5593732623,3677552.45121486,4022.183653810746,0.0,42520.95,38621.24,42474.37,39154.4
98,2022-03-05,1824133.2058977108,1848859.5848967521,1072935.719426218,322.12623132008474,0.0,39596.42,38652.98,39154.4,39407.02
99,2022-03-06,1974387.8466053715,1850276.3168615832,2878625.9630008196,0.0,0.0,39686.74,38133.84,39407.02,38428.92
100,2022-03-07,1978006.0927938754,1859616.385560494,5487731.588658052,2348.5055566723827,0.0,39536.14,37191.99,38428.92,38030.63
101,2022-03-08,1927236.6386731726,1884273.0692965803,3395505.488775102,0.0,0.0,39361.33,37905.43,38030.63,38748.52
102,2022-03-09,1705361.1431538307,2029238.6794396723,3130048.136045368,0.0,660.9968291342244,42557.95,38685.96,38748.52,41962.85
103,2022-03-10,1850580.4713266466,1886487.058406338,4335350.580027475,0.0,0.0,42043.56,38853.45,41962.85,39443.42
104,2022-03-11,1936110.1549732543,1907838.065129288,5006905.527301749,27216.737916633632,13.490893715421858,40221.93,38261.24,39443.42,38741.03
105,2022-03-12,1987516.163034725,1937936.4780352716,1652360.767144372,0.0,0.0,39414.02,38696.52,38741.03,38805.53
106,2022-03-13,2203867.3251332743,1831809.6047477862,2532493.400966226,149.89636479398786,0.0,39254.88,37633.11,38805.53,37796.31
107,2022-03-14,1944866.3805802912,2018062.7155161733,4493385.19269791,0.0,0.0,39802.89,37566.52,37796.31,39696.28
108,2022-03-15,1967193.2666309683,1949284.789857265,4000628.349304136,0.0,0.0,39863.78,38259.88,39696.28,39314.86
109,2022-03-16,1741439.0981103026,2195049.925141772,12596622.72946175,0.0,744.12448166683,41638.54,38933.24,39314.86,41133.64
110,2022-03-17,1846208.2871950583,2268067.3493247395,3416376.8918696204,0.0,0.0,41441.08,40581.36,41133.64,40956.79
111,2022-03-18,1852155.7150830678,2488634.2592796953,3745074.844836959,0.0,0.0,42250.94,40230.1,40956.79,41790.97
112,2022-03-19,1806957.4828022434,2559471.401684449,1923060.7385804872,0.0,0.0,42367.55,41549.61,41790.97,42235.02
113,2022-03-20,1890239.5392413472,2407913.3629819006,2094125.0643105055,0.0,0.0,42297.3,40979.25,42235.02,41243.16
114,2022-03-21,1883101.8195734555,2338738.1027546898,3190957.951379519,0.0,0.0,41510.03,40555.57,41243.16,41043.9
115,2022-03-22,1851849.2410680943,2644879.116522501,4799899.102762039,0.0,0.0,43287.39,40923.9,41043.9,42380.11
116,2022-03-23,1750530.8634542546,2763834.1659602937,3097168.778795178,0.0,0.0,43021.74,41806.4,42380.11,42904.1
117,2022-03-24,1812603.7560068178,3523325.903211034,5714312.911382239,0.0,1352.2579290675312,44230.66,42653.71,42904.1,44006.77
118,2022-03-25,1827387.6736469911,3495447.328737321,3200009.6713755857,0.0,0.0,45112.71,43629.05,44006.77,44331.36
119,2022-03-26,1725429.9503590357,3493938.5246486287,1093298.7089213927,0.0,0.0,44811.3,44108.04,44331.36,44542.31
120,2022-03-27,1677273.3773015463,4039993.9067437984,2376748.707880348,0.0,3325.221086113466,46896.6,44449.41,44542.31,46842.14
121,2022-03-28,1782065.1443519073,4124380.2834479334,4151779.1404328006,0.0,1686.2605495554653,48208.48,46669.19,46842.14,47128.71
122,2022-03-29,1970799.3486922372,4206221.502087679,3263743.511911613,0.0,0.0,48054.67,47018.87,47128.71,47445.3
123,2022-03-30,1947877.7341911143,4079650.1475340873,3033014.6369189518,0.0,0.0,47690.62,46606.97,47445.3,47056.41
