time,open,close,low,high,TradingVolume_binance,liquidate_long_binance,liquidate_short_binance,OpenInterest_long_binance,OpenInterest_short_binance,TradingVolume_bybit,liquidate_long_bybit,liquidate_short_bybit,OpenInterest_long_bybit,OpenInterest_short_bybit,TradingVolume_GMX,liquidate_long_GMX,liquidate_short_GMX,OpenInterest_long_GMX,OpenInterest_short_GMX,TradingVolume_perp,liquidate_long_perp,liquidate_short_perp,OpenInterest_long_perp,OpenInterest_short_perp,TradingVolume_GNS,liquidate_long_GNS,liquidate_short_GNS,OpenInterest_long_GNS,OpenInterest_short_GNS
2022-07-17,20853.8,20794.4,18901.0,21674.1,4594014.086006572,29206153.268299982,30721228.178399958,2340383830.972,2340383830.972,1440393.4619921714,19569235.003500003,18387319.677999996,879081715.224,879081715.224,121920079.43965587,36447.57204017346,13424.174403688112,6090309.321145602,2627266.4142112825,5629662.118563874,444.85990675365247,0.0,3788104.070814245,5271885.83986057,34745310.0,2730686.0,925230.0,13069409.455342969,14258697.775527168
2022-07-24,20794.5,22570.6,20764.4,24277.0,5378400.658020258,42400518.89529992,43970582.63099987,2608858033.7066,2608858033.7066,1653903.8099882647,23871451.65049999,34494002.61249998,946205069.8785,946205069.8785,196881837.1103128,6183.0466512477,95596.25242232294,16684761.678635951,4556733.154987584,12310658.746583892,52743.74024346887,0.0,3686697.888573166,5156933.553788476,55030324.0,9664328.0,1194988.0,12909210.301911311,14033964.595888736
2022-07-31,22570.6,23290.1,20689.6,24700.0,4279422.096003869,31510948.669399984,31591306.95789997,2641652273.2127,2641652273.2127,1253936.0569937737,14127081.064999998,20035992.08499999,927299891.736,927299891.736,127631304.79162626,24760.29934444678,105048.74383805318,2654871.4210271537,3601097.809069904,18402031.38539464,5029.442021587165,1589.076991030572,4178596.0019406993,5635828.414439047,54247252.0,952857.0,1424572.0,20750318.24497526,13282903.231150853
2022-08-07,23290.0,23167.8,22370.0,23650.0,3333112.2169919433,24826723.495500002,18742496.71000001,2545874211.105,2545874211.105,934446.0389969193,7301198.854,17179493.940500002,933131407.158,933131407.158,102314555.39685732,3420.189321679346,1657.1718970328,2267950.57743605,4827128.28721082,9589546.149881879,0.0,0.0,4006517.705627354,5342230.347561083,24504556.0,1093761.0,239662.0,20798805.90814695,12657086.856445998
2022-08-14,23167.9,24294.1,22608.0,25065.0,3929787.0839963974,27316370.223200016,26446931.828100003,2774036239.1954,2774036239.1954,1071364.17999704,12764134.673000002,14378440.839000005,1072814295.8715,1072814295.8715,160358725.6852067,1718.1008257447938,62642.1192026906,11337093.196336128,4971042.937275761,10776422.956431087,194.0668913291454,197.5138639561888,3840944.079204368,5479761.828063808,51710668.0,3816295.0,687143.0,13571794.80389188,11677055.403929075
2022-08-21,24294.1,21505.6,20742.9,25200.0,4008581.7520020204,33186818.51289996,22459433.132499997,2353251054.2016,2353251054.2016,1222443.2099934174,15785831.754499992,10228488.809500003,987119869.455,987119869.455,166416840.72517505,677027.0821068991,1475.2893696205997,5979043.394765552,4075191.487084961,14683641.28594306,7791.967805860133,14061.085117751223,4281209.584083334,5469156.262496233,35734593.0,1918808.0,140371.0,13094759.501567705,11363650.218176655
2022-08-28,21505.6,19547.5,19508.0,21925.6,3869016.8199958904,22997077.570000004,18914503.17540001,2307088624.6975,2307088624.6975,1147279.1349958647,9411398.929000001,10992475.088500002,1005058426.104,1005058426.104,180801472.2449685,24976.704224129364,3369.9314651924005,3846291.769531807,5691267.990296894,9233388.858956225,1878.7428080796706,3722.369869421189,4572412.380733725,5466640.24831656,35686599.0,1147099.0,1276392.0,12247569.825452534,17550615.591192186
2022-09-04,19547.6,19992.7,19524.4,20574.0,4120019.3610054962,21905291.386099998,16779429.412200008,2445190279.6685,2445190279.6685,1119049.485995055,9338002.106500002,9824499.7195,1093183682.596,1093183682.596,149613072.7420916,612.7090525192999,1738.6700854725,4401126.272952204,5819892.523330672,8657062.356569387,2.205170047624191,2.2327347879446835,4388434.983488702,5455757.026489891,19694205.0,1697537.0,768848.0,13344819.122615349,20948530.56046113
2022-09-11,19992.6,21820.3,18500.0,21883.4,4429732.559004553,25575519.376499992,26676652.022299998,3114890112.7414,3114890112.7414,1289977.516995853,12302103.100999996,11588693.254999999,1158721810.86,1158721810.86,199369935.49966726,150189.29924802782,61873.668124312986,7573372.872920193,6465594.91635098,11586710.833804699,133335.5917425274,70777.20489936673,4166530.634309082,5566147.272841554,28476066.0,365350.0,1350014.0,14101097.939503662,12550721.500249706
2022-09-18,21820.3,19404.5,19300.0,22850.0,4744119.39600717,33299169.157599967,23301124.062399995,2421674711.4025,2421674711.4025,1325063.2709934846,16148441.987000007,17310124.660499997,963646736.643,963646736.643,798782941.8153331,958349.6136895961,129908.6925334183,22391086.71455165,7141114.430737565,16102261.770636052,6266.495436003365,10380.952310581324,4690525.43802601,5610529.786500238,51628400.0,853840.0,1502360.0,14600612.195241584,12838079.03871686
