time,leverage_long_GMX,leverage_short_GMX,less_than_1X_GMX,1X_5X_GMX,5X_10X_GMX,10X_15X_GMX,15X_20X_GMX,20X_25X_GMX,25X_30X_GMX,30X_35X_GMX,35X_40X_GMX,40X_45X_GMX,45X_50X_GMX,more_than_50X_GMX,leverage_long_GNS,leverage_short_GNS,less_than_1X_GNS,1X_5X_GNS,5X_10X_GNS,10X_15X_GNS,15X_20X_GNS,20X_25X_GNS,25X_30X_GNS,30X_35X_GNS,35X_40X_GNS,40X_45X_GNS,45X_50X_GNS,more_than_50X_GNS
2022-03-27,21.70888874940704,21.533647438270656,1216.88134876038,4128215.72561153,10896381.421651242,5434888.964694462,36568611.4955079,60899257.641948864,284877160.48226255,0.0,0.0,0.0,0.0,0.0,91.20270014816803,82.18413714832674,0.0,70968.06547619047,106007.59761904762,183038.97542369913,46690.50268065267,278349.6054615706,999067.6444805195,123362.87727272726,145200.36190476193,50288.833333333336,20556.333333333336,3345147.703850477
2022-04-03,11.834870638778032,19.56093281594338,18.681219306,8665323.609142331,20919285.06713684,11337401.80790535,17876891.556019045,61560186.846404016,72808063.92378739,0.0,0.0,0.0,0.0,0.0,84.05684559846641,82.76506717388692,0.0,135769.25985663082,129086.41016483516,398356.5403615992,71680.92727272728,255434.72544492543,330192.7846320346,146161.80622710622,229824.68589743588,621803.8845154846,63726.833333333336,777404.4003670253
2022-04-10,15.484627558787233,16.918692996811714,1059633.1564305904,8027805.994609947,16772457.432331754,36064331.078248024,7483900.256983198,21309389.671408817,189239483.22064084,0.0,0.0,0.0,0.0,0.0,76.9313695930975,74.57042390718253,0.0,207790.77651515152,338689.68049335724,197102.3179347826,99323.29079616036,102216.48349567098,115042.52777777778,193109.12792207793,48824.33333333333,50939.72063492064,139732.41666666666,658289.2174384883
2022-04-17,13.132213967156124,21.704823215381747,358622.0252521843,916364.0285262314,6802658.332465073,2044594.0827573147,5555770.655411298,1013658.5454049666,139740388.59135392,0.0,0.0,0.0,0.0,0.0,86.19773795734436,78.18198644650091,0.0,128768.48926237162,195725.85525310604,227870.69791666666,67740.86921871704,114286.93506493507,25662.1,360475.6478021978,241013.66666666666,75241.63888888889,291395.34285714285,522254.5065718737
2022-04-24,15.925746266580196,16.94588037818053,4020.6807888805997,846591.228265744,4203800.989202103,2487571.5504223374,2430751.8042974337,3989684.404956569,57837596.37526821,0.0,0.0,0.0,0.0,3819.29702872,89.84971185530686,85.66295448138017,0.0,543995.0833333334,270700.99417249416,183851.67857142858,57854.69682539682,68519.53571428571,134721.84166666667,36087.42222222222,59701.400466200466,73420.0,26650.333333333332,353285.2150403737
2022-05-01,16.02016270868425,18.064328366722542,20655.821909077502,1333440.861519217,3917099.6469541844,2488110.623581063,4652113.65714171,14332645.343070291,18455117.018543165,0.0,0.0,0.0,0.0,0.0,71.00977538503126,73.75267799415784,0.0,307563.0999373434,235171.60775335776,175971.80448646643,302291.11706349207,381613.67715247715,116763.52228327228,78072.8051948052,16335.0,65998.60303030303,5554.0,151778.16338420496
2022-05-08,14.541543804852381,16.90085496375391,20756.8037942906,4711722.363342084,9927490.837644326,8772583.068665732,10880189.350872245,7463426.656366939,43236514.459032044,0.0,0.0,0.0,0.0,0.0,72.22266588674529,73.65704636397405,0.0,190030.27065527067,144512.2451048951,259339.16668571444,113272.83771929824,152879.14736842105,440344.7230710312,254554.30076296255,22052.333333333332,334744.7727272727,68999.23333333332,403807.0513092199
2022-05-15,10.047407171157108,14.425837065526327,782600.0171170059,9348896.016857242,30416212.327946182,19203772.97019138,80798814.23176724,35878115.37142989,35482316.32117325,2316.0312842099997,0.0,0.0,0.0,0.0,66.90327956059343,63.29390751793128,0.0,173041.3220089252,165832.99775516195,159205.51259504628,232711.02861073674,227182.1743596681,400862.51880877744,142321.1963116747,354366.5207792208,227682.21097615833,222140.2857142857,207500.38058408612
2022-05-22,11.628658196703242,12.87180017561336,15689.350640739998,3065988.8966347924,4281067.699650481,3023390.5461171395,2265506.7608082984,1703847.8023090558,18605159.01327114,603.0012399999999,0.0,0.0,0.0,30105.0,71.95742673873823,70.00906275428918,0.0,172704.87887780496,147717.3173030673,96734.76735578288,78494.52580645161,67933.5976608187,231880.81919191917,73222.31209150326,24543.87612387612,45878.56791125541,64678.87007422402,168546.29902427405
2022-05-29,8.762359529181476,12.102213072909706,335297.9058227104,3173708.3894362007,3613102.2090562438,2710820.460918489,6358615.983312065,2887961.5767531227,16067272.006813172,2211.36032,0.0,0.0,0.0,180881.23874474,82.43198566696275,82.22109266779502,0.0,31142.857142857145,29744.909090909092,213454.130351545,90740.27619047619,66364.66162464986,201059.46666666667,233866.8529953917,343162.5083333333,205479.71323529413,3594.6,156033.30475833995
2022-06-05,11.22275494136579,14.118019233617819,22911.189892712504,3737548.7491723946,2890448.767331028,2366154.2091118605,2202666.8352813893,1239538.360697776,7849998.002571221,1480.2519474,0.0,0.0,0.0,0.0,81.91587130265978,74.34042767450289,0.0,12105.0,12105.0,187954.20476190475,23529.479166666668,122148.319828722,60805.07792207792,344635.39844455064,58464.0,129884.5619047619,14382.166666666666,442623.2317074514
2022-06-12,14.170371416109644,15.749265930056692,175686.8030299352,2721339.5097233346,4981974.616946336,4454948.352869096,3594811.288723512,3092067.753917918,32337395.047657855,1787.9333545,0.0,0.0,0.0,0.0,78.26534632389715,80.34076796507107,0.0,21100.0,21100.0,227660.569519696,205369.15809884557,169824.30855753337,131041.00833333333,106058.9981962482,1662087.1166666667,365680.4285714286,1267023.4047619049,445045.4575612533
