,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
1005,CKB_USDT.Y,Y,CKB_USDT,CKB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1006,SUSHI_USDT.Y,Y,SUSHI_USDT,SUSHI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1007,XRPZ23.0,0,XRPZ23,XRP,BTC,1703851200000.0,True,False,STABLE,BASE_ASSET,False,True
1008,ETHUSD_PERP.3,3,ETH-USD-SWAP,ETH,USD,,True,True,COIN,QUOTE_ASSET,False,True
1009,LTCUSDT_PERP.0,0,LTCUSDT,LTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1010,pf_ltcusd.K,K,pf_ltcusd,LTC,USD,,True,True,STABLE,BASE_ASSET,False,True
1011,HFT_USDT.Y,Y,HFT_USDT,HFT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1012,ETH-3NOV23.2,2,ETH-3NOV23,ETH,USD,1698998400000.0,True,False,COIN,QUOTE_ASSET,False,True
1013,NEOUSD_PERP.3,3,NEO-USD-SWAP,NEO,USD,,True,True,COIN,QUOTE_ASSET,False,True
1014,FITFIUSDT_PERP.3,3,FITFI-USDT-SWAP,FITFI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1015,fi_xbtusd_240329.K,K,fi_xbtusd_240329,BTC,USD,1711728000000.0,True,False,COIN,QUOTE_ASSET,False,True
1016,CRV_USDT.Y,Y,CRV_USDT,CRV,USDT,,True,True,STABLE,BASE_ASSET,False,True
1017,PERP_LRC_USDT.W,W,PERP_LRC_USDT,LRC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1018,pf_qntusd.K,K,pf_qntusd,QNT,USD,,True,True,STABLE,BASE_ASSET,False,True
1019,pf_linkusd.K,K,pf_linkusd,LINK,USD,,True,True,STABLE,BASE_ASSET,False,True
1020,KEY_USDT.Y,Y,KEY_USDT,KEY,USDT,,True,True,STABLE,BASE_ASSET,False,True
1021,PEPE2_USDT.Y,Y,PEPE2_USDT,PEPE2,USDT,,True,True,STABLE,BASE_ASSET,False,True
1022,XBTUSDTZ23.0,0,XBTUSDTZ23,BTC,USDT,1703851200000.0,True,False,STABLE,BASE_ASSET,False,True
1023,MTLUSDT_PERP.4,4,MTL-USDT,MTL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1024,BALUSDT_PERP.4,4,BAL-USDT,BAL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1025,UNFIUSDT_PERP.4,4,UNFI-USDT,UNFI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1026,PERP_SAND_USDT.W,W,PERP_SAND_USDT,SAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
1027,STX_USDT.Y,Y,STX_USDT,STX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1028,XRPUSDT_PERP.3,3,XRP-USDT-SWAP,XRP,USDT,,True,True,STABLE,BASE_ASSET,False,True
1029,YGGUSDT_PERP.3,3,YGG-USDT-SWAP,YGG,USDT,,True,True,STABLE,BASE_ASSET,False,True
1030,PERP_SUSHI_USDT.W,W,PERP_SUSHI_USDT,SUSHI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1031,ff_ethusd_231124.K,K,ff_ethusd_231124,ETH,USD,1700812800000.0,True,False,STABLE,BASE_ASSET,False,True
1032,MOVEZ_USDT.Y,Y,MOVEZ_USDT,MOVEZ,USDT,,True,True,STABLE,BASE_ASSET,False,True
1033,MEMEUSDTX23.0,0,MEMEUSDTX23,MEME,USDT,1700827200000.0,True,False,STABLE,BASE_ASSET,False,True
1034,HIGH_USDT.Y,Y,HIGH_USDT,HIGH,USDT,,True,True,STABLE,BASE_ASSET,False,True
1035,DYDXUSDT_PERP.4,4,DYDX-USDT,DYDX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1036,PERP_LTC_USDT.W,W,PERP_LTC_USDT,LTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1037,XCN_USDT.Y,Y,XCN_USDT,XCN,USDT,,True,True,STABLE,BASE_ASSET,False,True
1038,XRD_USDT.Y,Y,XRD_USDT,XRD,USDT,,True,True,STABLE,BASE_ASSET,False,True
1039,AIDOGEUSDT_PERP.4,4,AIDOGE-USDT,AIDOGE,USDT,,True,True,STABLE,BASE_ASSET,False,True
1040,APTUSDT_PERP.3,3,APT-USDT-SWAP,APT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1041,PERP_ARB_USDT.W,W,PERP_ARB_USDT,ARB,USDT,,True,True,STABLE,BASE_ASSET,False,True
1042,pf_flowusd.K,K,pf_flowusd,FLOW,USD,,True,True,STABLE,BASE_ASSET,False,True
1043,BTC-28JUN24.2,2,BTC-28JUN24,BTC,USD,1719561600000.0,True,False,COIN,QUOTE_ASSET,False,True
1044,SOLUSDT_PERP.3,3,SOL-USDT-SWAP,SOL,USDT,,True,True,STABLE,BASE_ASSET,False,True
1045,YFIUSD_PERP.3,3,YFI-USD-SWAP,YFI,USD,,True,True,COIN,QUOTE_ASSET,False,True
1046,DOT_USDT.Y,Y,DOT_USDT,DOT,USDT,,True,True,STABLE,BASE_ASSET,False,True
